neighbourhood,total_listings,avg_price,median_price,avg_availability
bang bon,12,2173.5,784.0,293.6666666666667
bang kapi,375,2101.154666666667,922.0,286.76
bang khae,57,1036.2631578947369,890.0,315.6140350877193
bang khen,142,1900.112676056338,985.0,290.2957746478873
bang kho laen,205,1504.990243902439,1027.0,311.98536585365855
bang khun thain,24,2021.9166666666667,1076.5,286.5833333333333
bang na,648,1525.638888888889,890.0,286.48148148148147
bang phlat,262,1238.118320610687,837.0,287.9083969465649
bang rak,756,2855.957671957672,1890.0,260.4259259259259
bang sue,433,1466.4087759815243,819.0,274.2609699769053
bangkok noi,153,2689.2875816993464,858.0,289.62091503267976
bangkok yai,103,1749.5436893203882,1214.0,299.71844660194176
bueng kum,77,1975.5324675324675,1075.0,278.5844155844156
chatu chak,681,1736.9016152716592,1130.0,288.7254038179148
chom thong,64,1518.3125,894.5,279.921875
din daeng,498,2549.0481927710844,1190.5,282.6265060240964
don mueang,166,2251.277108433735,832.5,301.23493975903614
dusit,77,1291.3506493506493,1054.0,316.8961038961039
huai khwang,3033,3196.1180349488955,1400.0,291.89680184635677
khan na yao,66,1647.6363636363637,991.5,299.5151515151515
khlong sam wa,28,2271.5,763.5,341.75
khlong san,525,2170.864761904762,1086.0,275.74285714285713
khlong toei,3119,2482.232766912472,1622.0,270.75440846425136
lak si,130,1806.1538461538462,805.0,306.66153846153844
lat krabang,239,1737.36820083682,1158.0,293.41004184100416
lat phrao,59,2421.593220338983,1350.0,314.54237288135596
min buri,73,1381.5479452054794,971.0,293.5890410958904
nong chok,20,3787.35,708.5,321.15
nong khaem,6,1438.0,581.0,271.1666666666667
parthum wan,567,3331.119929453263,2248.0,252.8447971781305
phasi charoen,166,1266.0240963855422,932.5,277.8313253012048
phaya thai,414,1792.9202898550725,1287.0,284.09178743961354
phra khanong,1001,1591.2837162837163,1184.0,279.035964035964
phra nakhon,924,2031.5865800865802,1103.0,311.4415584415584
pom prap sattru phai,154,2378.1428571428573,1502.5,263.7597402597403
pra wet,170,2320.758823529412,1058.0,297.56470588235294
rat burana,54,1147.2592592592594,845.5,286.8333333333333
ratchathewi,1243,2899.192276749799,1588.0,260.0997586484312
sai mai,46,1944.5,886.5,319.89130434782606
samphanthawong,169,2468.9526627218934,1879.0,290.26627218934914
saphan sung,81,2080.2345679012346,827.0,256.91358024691357
sathon,1092,2048.9349816849817,1165.0,276.56868131868134
suanluang,728,1779.901098901099,1045.0,302.9848901098901
taling chan,48,3207.4791666666665,1260.5,300.1458333333333
thawi watthana,21,1825.2857142857142,1060.0,303.95238095238096
thon buri,265,1272.7320754716982,988.0,277.07547169811323
thung khru,23,1910.1304347826087,800.0,311.60869565217394
vadhana,3709,3615.327042329469,1828.0,257.27716365597195
wang thong lang,142,2132.5985915492956,958.0,279.5845070422535
yan na wa,225,2313.337777777778,1196.0,268.0311111111111
