neighbourhood,total_listings,avg_price,median_price,avg_availability
adlershof,31,100.19354838709677,95.0,279.96774193548384
albrechtstr.,56,134.85714285714286,86.0,255.89285714285714
alexanderplatz,725,922.4027586206896,142.0,209.9351724137931
allende-viertel,3,38.666666666666664,33.0,106.66666666666667
alt  treptow,50,114.2,94.0,172.72
alt-hohenschönhausen nord,10,211.7,68.5,229.4
alt-hohenschönhausen süd,12,118.75,105.5,213.25
alt-lichtenberg,32,122.4375,109.5,217.03125
altglienicke,23,79.52173913043478,62.0,255.7826086956522
altstadt-kietz,5,122.0,139.0,164.2
barstraße,33,116.0909090909091,99.0,255.45454545454547
baumschulenweg,20,96.0,82.5,207.75
biesdorf,26,95.03846153846153,79.5,231.07692307692307
blankenburg/heinersdorf/märchenland,27,79.11111111111111,68.0,201.37037037037038
blankenfelde/niederschönhausen,42,340.6190476190476,98.0,197.71428571428572
bohnsdorf,24,503.0416666666667,63.5,283.75
britz,29,116.41379310344827,97.0,166.31034482758622
brunnenstr. nord,161,190.07453416149067,150.0,239.27329192546583
brunnenstr. süd,402,181.2363184079602,145.5,211.61940298507463
brunsbütteler damm,13,98.0,93.0,304.46153846153845
buch,10,76.2,67.0,297.6
buchholz,25,100.68,79.0,259.48
buckow,20,96.4,99.0,262.85
buckow nord,3,68.66666666666667,67.0,293.3333333333333
charlottenburg nord,6,167.16666666666666,77.0,299.5
dammvorstadt,5,125.6,132.0,200.6
drakestr.,49,105.59183673469387,95.0,251.81632653061226
düsseldorfer straße,170,131.7764705882353,110.0,251.24117647058824
falkenhagener feld,9,71.88888888888889,54.0,157.44444444444446
fennpfuhl,11,59.54545454545455,55.0,263.3636363636364
forst grunewald,4,126.5,130.0,260.25
frankfurter allee nord,156,128.14102564102564,104.5,215.01923076923077
frankfurter allee süd,5,62.6,52.0,87.6
frankfurter allee süd fk,477,135.43815513626834,108.0,224.9412997903564
friedenau,60,118.93333333333334,110.0,234.15
friedrichsfelde nord,23,124.26086956521739,110.0,191.17391304347825
friedrichsfelde süd,8,58.75,53.0,237.875
friedrichshagen,33,134.3939393939394,128.0,269.72727272727275
gatow / kladow,17,94.94117647058823,88.0,230.05882352941177
gropiusstadt,5,72.2,78.0,245.8
grunewald,64,119.28125,109.5,196.515625
grünau,16,101.1875,85.5,273.375
hakenfelde,10,108.9,98.5,198.2
halensee,63,117.87301587301587,84.0,245.17460317460316
haselhorst,6,216.16666666666666,236.5,303.1666666666667
heerstrasse,40,118.075,84.0,184.375
heerstraße nord,18,100.61111111111111,65.0,204.44444444444446
hellersdorf-nord,9,75.22222222222223,59.0,228.88888888888889
hellersdorf-ost,1,30.0,30.0,266.0
hellersdorf-süd,2,33.0,33.0,319.0
helmholtzplatz,157,136.60509554140128,119.0,229.19745222929936
johannisthal,25,103.52,69.0,270.76
kantstraße,85,130.75294117647059,100.0,211.10588235294117
karl-marx-allee-nord,105,116.16190476190476,102.0,206.52380952380952
karl-marx-allee-süd,183,113.87978142076503,100.0,195.9672131147541
karlshorst,50,129.6,135.0,274.04
karow,10,92.2,85.5,251.2
kaulsdorf,15,89.46666666666667,85.0,196.4
kurfürstendamm,139,149.88489208633092,138.0,235.19424460431654
kölln. vorstadt/spindlersf.,9,144.55555555555554,90.0,170.55555555555554
köllnische heide,15,91.8,93.0,242.53333333333333
köpenick-nord,14,80.64285714285714,64.0,192.35714285714286
köpenick-süd,11,65.27272727272727,68.0,198.9090909090909
lankwitz,9,78.0,70.0,246.11111111111111
lichtenrade,21,87.38095238095238,76.0,245.42857142857142
mahlsdorf,21,101.71428571428571,90.0,203.71428571428572
"malchow, wartenberg und falkenberg",5,114.8,120.0,250.0
mariendorf,30,121.46666666666667,97.5,220.86666666666667
marienfelde,8,1078.25,67.5,230.625
marzahn-mitte,6,50.833333333333336,53.0,280.3333333333333
marzahn-nord,1,45.0,45.0,269.0
marzahn-süd,18,138.11111111111111,121.0,212.5
mierendorffplatz,36,117.38888888888889,99.0,203.19444444444446
moabit ost,153,112.50326797385621,87.0,215.87581699346404
moabit west,157,119.37579617834395,92.0,218.82165605095543
mv 1,3,122.33333333333333,122.0,169.0
mv 2,18,82.5,84.0,139.88888888888889
müggelheim,19,1064.842105263158,136.0,293.7368421052632
neu lichtenberg,62,112.48387096774194,101.0,212.09677419354838
neu-hohenschönhausen nord,1,32.0,32.0,231.0
neu-hohenschönhausen süd,1,45.0,45.0,25.0
neue kantstraße,89,158.98876404494382,113.0,209.85393258426967
neuköllner mitte/zentrum,169,133.04142011834318,93.0,206.32544378698225
niederschöneweide,22,126.27272727272727,113.5,245.3181818181818
nord 1,19,97.94736842105263,60.0,226.42105263157896
nord 2,11,93.0909090909091,73.0,234.36363636363637
nördliche luisenstadt,147,120.85714285714286,97.0,183.1360544217687
oberschöneweide,57,99.56140350877193,85.0,105.49122807017544
osloer straße,69,102.33333333333333,85.0,234.28985507246378
ost 1,18,129.83333333333334,65.5,259.72222222222223
ost 2,31,58.12903225806452,52.0,285.35483870967744
ostpreußendamm,26,71.96153846153847,51.0,204.76923076923077
otto-suhr-allee,123,120.70731707317073,104.0,250.34959349593495
pankow süd,61,111.80327868852459,83.0,194.54098360655738
pankow zentrum,55,136.47272727272727,115.0,241.25454545454545
parkviertel,91,91.07692307692308,72.0,227.16483516483515
plänterwald,28,112.85714285714286,90.5,236.10714285714286
prenzlauer berg nord,130,127.24615384615385,113.5,200.0
prenzlauer berg nordwest,193,120.61658031088083,97.0,217.6580310880829
prenzlauer berg ost,69,279.57971014492756,116.0,178.95652173913044
prenzlauer berg süd,197,138.44670050761422,125.0,217.0964467005076
prenzlauer berg südwest,290,175.63793103448276,144.0,232.94482758620688
rahnsdorf/hessenwinkel,29,188.17241379310346,100.0,269.2758620689655
regierungsviertel,98,185.8877551020408,159.0,219.46938775510205
reuterstraße,181,110.38674033149171,90.0,174.44751381215468
rixdorf,122,100.54918032786885,88.5,177.68032786885246
rudow,47,293.51063829787233,72.0,266.0851063829787
rummelsburger bucht,30,138.43333333333334,120.0,184.53333333333333
schillerpromenade,140,115.40714285714286,98.5,191.43571428571428
schloß charlottenburg,67,116.49253731343283,66.0,269.17910447761193
schloßstr.,41,101.07317073170732,95.0,163.29268292682926
schmargendorf,34,170.55882352941177,172.0,276.61764705882354
schmöckwitz/karolinenhof/rauchfangswerder,27,443.5925925925926,122.0,288.77777777777777
schöneberg-nord,212,112.58018867924528,85.0,198.4433962264151
schöneberg-süd,163,139.86503067484662,103.0,209.159509202454
schönholz/wilhelmsruh/rosenthal,21,584.8571428571429,105.0,189.23809523809524
siemensstadt,9,81.11111111111111,76.0,334.22222222222223
spandau mitte,16,153.125,120.5,227.125
südliche friedrichstadt,180,144.6,125.0,230.0888888888889
südliche luisenstadt,242,126.15289256198348,101.0,182.21900826446281
teltower damm,27,95.4074074074074,85.0,239.66666666666666
tempelhof,144,144.65277777777777,101.5,188.33333333333334
tempelhofer vorstadt,420,124.07619047619048,97.5,200.40238095238095
tiergarten süd,115,152.1478260869565,139.0,215.27826086956523
volkspark wilmersdorf,87,221.2528735632184,89.0,211.26436781609195
wedding zentrum,124,117.41935483870968,91.0,236.63709677419354
weißensee,106,122.99056603773585,94.5,235.67924528301887
weißensee ost,12,109.58333333333333,83.0,176.83333333333334
west 1,9,104.44444444444444,80.0,223.55555555555554
west 2,13,95.46153846153847,72.0,221.23076923076923
west 3,6,71.33333333333333,62.5,149.16666666666666
west 4,16,73.125,79.0,242.25
west 5,11,381.54545454545456,203.0,258.27272727272725
westend,64,131.265625,90.0,192.21875
wiesbadener straße,25,144.4,132.0,251.32
wilhelmstadt,17,130.11764705882354,120.0,239.23529411764707
zehlendorf  nord,49,119.06122448979592,84.0,233.85714285714286
zehlendorf  südwest,29,116.75862068965517,102.0,231.10344827586206
